Run,astrological_experience,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12
12772240,1,D,A,D,D,D,E,B,D,D,A,E,A
12772231,1,C,A,A,D,E,B,B,D,E,C,E,B
12772188,1,B,C,B,E,A,D,B,E,A,C,C,D
12772157,1,E,A,C,C,A,C,B,C,A,D,C,B
12772031,1,E,E,B,C,D,E,D,C,C,E,D,C
12771964,1,A,E,E,A,B,D,C,E,C,A,B,D
12771913,1,D,B,A,A,B,B,E,C,D,D,D,D
12771506,1,E,A,E,A,A,C,B,C,E,E,B,E
12771331,1,B,D,B,E,A,C,C,D,B,E,D,B
12771180,1,B,E,C,E,B,C,A,E,E,E,B,D
12770476,1,A,E,A,D,C,C,A,D,C,E,D,B
12771130,1,A,B,B,D,C,E,D,D,A,C,E,A
12771092,1,B,C,D,B,E,A,C,D,D,E,B,C
12771071,1,B,A,C,A,B,C,C,D,D,C,D,B
12771006,1,C,E,D,D,D,A,E,B,E,C,A,A
12770926,1,C,D,A,E,B,C,D,C,D,E,C,E
12770885,1,D,B,A,A,A,C,B,A,E,A,E,B
12770781,1,C,A,E,D,E,D,A,C,D,C,D,C
12770713,1,A,E,C,D,E,C,A,D,B,B,E,C
12770710,1,B,E,D,C,C,B,B,D,D,A,D,C
12770635,1,A,E,D,A,C,B,E,B,B,A,A,B
12770599,1,A,B,D,A,B,C,C,A,E,E,D,D
12770324,1,B,C,C,D,C,A,D,E,A,C,E,B
12770201,1,C,E,A,D,C,C,A,B,D,A,E,B
12769401,1,A,E,A,D,E,B,C,D,C,C,E,E
12769364,1,C,A,D,B,E,B,D,A,C,E,D,C
12767978,1,C,B,C,D,A,C,C,C,C,C,A,E
12768218,1,A,C,E,B,D,C,C,D,C,E,C,B
12763314,1,A,B,D,D,D,C,C,E,B,C,E,B
12762710,1,A,C,C,A,C,C,A,D,B,D,D,D
12762477,1,B,D,E,C,A,E,A,D,C,A,E,E
12762361,1,D,A,E,A,B,B,D,C,E,E,A,D
12874593,2,A,B,C,E,E,B,E,E,B,E,D,D
12872001,2,A,E,D,D,E,C,E,D,C,E,D,D
12870081,2,C,C,C,B,C,C,C,D,D,E,E,E
12854934,2,C,E,C,C,B,C,B,A,C,E,E,D
12849924,2,A,A,A,A,A,A,A,A,A,A,A,A
12847659,2,A,E,A,D,B,C,A,E,E,C,E,D
12842677,2,E,C,B,A,E,D,A,A,D,B,C,A
12813251,2,D,D,E,A,D,A,D,A,B,D,D,B
12805196,2,A,D,E,B,E,E,C,C,E,A,D,D
12800749,2,C,A,E,A,B,C,C,A,E,D,C,C
12791090,2,C,A,C,B,A,C,A,A,E,C,D,C
12789730,2,A,E,D,A,D,C,A,E,B,B,B,B
12785915,2,A,B,B,D,C,C,A,E,A,E,E,D
12783338,2,C,E,B,B,B,D,D,C,D,B,B,C
12782170,2,C,D,A,A,B,C,B,D,E,B,C,A
12778846,2,B,B,D,D,E,D,C,E,E,B,D,C
12778750,2,A,E,A,B,E,D,E,C,C,A,C,E
12778338,2,C,E,D,B,C,C,A,E,A,E,D,D
12775559,2,C,A,D,B,D,C,A,E,E,E,D,D
12774415,2,B,D,A,E,B,C,C,A,C,B,C,B
12773701,2,A,D,E,E,C,C,C,C,A,E,E,C
12773316,2,B,A,E,C,D,B,C,A,D,E,D,C
12772625,2,A,D,C,B,C,B,B,B,A,D,D,B
12772435,2,E,C,B,C,D,B,A,D,D,B,E,A
12772183,2,C,D,D,A,E,A,E,C,B,A,D,A
12772175,2,C,C,C,D,B,C,A,C,B,E,E,C
12772028,2,B,A,A,A,E,D,C,D,B,B,E,B
12771984,2,C,D,E,C,D,C,A,E,B,D,E,E
12771725,2,C,E,E,A,B,C,C,E,E,E,D,D
12771313,2,A,B,C,A,C,C,E,E,A,A,D,B
12771215,2,E,A,C,C,E,B,B,C,A,C,E,B
12771095,2,C,D,B,B,D,B,D,A,E,D,A,E
12770795,2,A,E,A,D,E,C,A,B,A,E,D,C
12770638,2,A,C,E,A,B,D,A,D,A,C,D,C
12770627,2,A,E,E,D,E,C,D,D,E,E,D,A
12770174,2,A,B,D,C,A,B,C,D,D,C,A,D
12770087,2,C,A,B,B,D,C,C,A,C,A,E,C
12769891,2,C,A,C,B,A,B,C,A,B,D,B,D
12769467,2,C,B,A,A,D,C,C,C,D,E,D,B
12769331,2,B,C,D,D,B,B,E,A,B,C,E,E
12769052,2,D,D,E,A,B,D,B,E,B,E,A,B
12767410,2,A,E,D,E,D,C,A,D,E,C,D,D
12767013,2,C,D,D,A,E,E,A,A,B,B,E,C
12766346,2,A,E,D,D,A,B,C,C,D,D,E,D
12765889,2,C,A,D,A,C,C,A,A,B,E,D,D
12765759,2,A,D,B,A,B,C,B,D,C,A,D,C
12764874,2,B,C,A,A,D,B,C,D,A,B,E,B
12764576,2,B,D,A,B,B,A,B,B,E,A,C,C
12764352,2,A,B,E,E,B,C,C,A,D,A,D,B
12627422,2,E,E,C,A,D,C,B,E,C,E,C,D
12888181,3,C,D,A,D,E,C,A,B,A,E,E,D
12875571,3,B,B,B,B,A,B,C,C,E,C,D,D
12855780,3,D,D,D,D,D,B,B,B,B,B,B,B
12851446,3,A,B,A,E,E,A,A,D,C,C,D,D
12790176,3,A,E,E,D,C,A,B,C,D,A,D,A
12789517,3,D,A,E,A,B,E,B,E,E,D,C,D
12786958,3,E,C,C,A,C,D,D,C,C,C,A,D
12783924,3,E,E,B,C,B,E,C,E,A,A,E,E
12783476,3,A,D,E,D,C,C,C,B,A,A,D,D
12781651,3,A,C,D,D,E,C,A,D,A,D,D,A
12781212,3,A,D,E,E,B,A,C,A,C,E,E,D
12780804,3,B,B,C,E,D,D,E,E,D,E,A,D
12774677,3,C,E,D,B,D,C,A,C,D,E,B,B
12773281,3,D,E,C,D,C,A,D,C,C,E,E,A
12773244,3,A,C,D,E,E,D,B,C,D,B,A,B
12773181,3,C,C,E,C,E,A,C,A,B,E,D,C
12773125,3,C,E,B,D,E,B,C,D,E,E,C,D
12772181,3,D,A,D,A,C,C,D,B,A,B,B,E
12771621,3,E,D,E,A,E,B,A,D,B,B,D,B
12771513,3,C,E,A,D,B,C,B,D,D,B,C,D
12771464,3,C,A,D,E,E,B,D,C,A,A,E,E
12771360,3,B,A,E,D,A,D,A,B,C,E,D,C
12770899,3,A,D,D,D,C,C,A,C,B,A,D,C
12770756,3,D,B,D,C,C,B,A,E,A,B,E,D
12770129,3,A,B,D,D,B,C,C,B,A,E,B,C
12769681,3,A,C,C,B,C,E,C,D,D,A,B,B
12769640,3,A,C,D,D,B,C,A,E,D,E,D,D
12769394,3,C,C,E,D,B,E,A,A,B,C,E,B
12769359,3,A,E,D,A,E,B,C,A,D,E,E,C
12769089,3,C,B,B,D,C,C,C,C,C,D,D,C
12768605,3,C,E,E,B,C,B,A,C,C,C,A,D
12767040,3,E,B,E,B,D,D,E,C,E,C,D,C
12766129,3,D,B,D,E,D,E,C,B,A,D,E,E
12766031,3,B,D,C,D,E,E,C,C,B,E,D,E
12765667,3,B,C,E,D,A,C,B,E,A,D,C,B
12765408,3,A,C,C,B,E,B,A,A,D,D,E,C
12764894,3,E,D,B,C,B,E,C,E,C,A,C,E
12764233,3,D,E,E,A,D,C,E,E,A,A,D,E
12740636,3,C,A,B,B,C,C,D,B,C,B,E,C
12871225,4,E,D,B,D,D,B,D,E,A,E,E,C
12790779,4,E,B,D,B,E,E,A,C,C,A,C,B
12790732,4,C,A,E,C,A,E,C,B,A,E,C,D
12789948,4,A,D,B,D,C,E,A,E,E,D,A,C
12788102,4,D,C,C,B,B,B,A,B,D,D,A,E
12780205,4,E,A,B,B,A,E,D,E,C,B,D,C
12773480,4,E,D,E,B,C,D,C,C,A,C,E,B
12771109,4,E,C,A,B,D,A,A,D,C,C,D,B
12770619,4,C,B,D,B,E,D,A,D,E,E,A,B
12766842,4,D,D,E,C,B,D,D,D,C,E,D,A
12765057,4,A,E,B,C,E,C,C,A,E,A,E,B
12764627,4,C,E,A,D,A,C,C,E,C,C,E,B
12773906,5,E,D,B,C,E,C,A,B,A,A,B,B
12769348,5,C,D,C,E,C,B,D,D,E,A,B,D
12765834,5,B,C,B,E,C,A,C,C,D,A,E,C
12728129,5,B,D,C,D,C,D,E,C,C,A,D,C
12700070,5,C,D,D,D,E,E,C,B,D,A,A,C
